complaint_id,source_channel,timestamp,raw_text,language_ground_truth,department_ground_truth,category_ground_truth,locality_ground_truth,ward_ground_truth,urgency_ground_truth,incident_id,status,resolved_at
CMP-0312,Mobile App,2026-06-01T16:00:00,Nullah blocked near Bhadbhada causing artificial waterlogging during light rains.,English,Drainage,Drain blockage,Bhadbhada,27,High,INC-0157,Pending,
CMP-0561,Mobile App,2026-06-01T17:00:00,"Bagsewaniya main road pe bahut bade potholes ho gaye hain, do-wheelers roz phisal rahe hain.",Hinglish,Roads,Pothole,Bagsewaniya,54,Medium,INC-0406,Resolved,2026-06-06T02:00:00
CMP-0510,CM Helpline,2026-06-02T06:00:00,"Anand Nagar में सड़क किनारे मृत जानवर पड़ा है। तीव्र दुर्गंध फैल रही है, कृपया तुरंत उठवाएं।",Hindi,Sanitation,Dead animal removal,Anand Nagar,63,High,INC-0355,Resolved,2026-06-06T12:00:00
CMP-0661,Municipal Helpline,2026-06-02T18:00:00,"Gulmohar me sewer line choked hai, black water sadak par fail gaya hai.",Hinglish,Drainage,Overflowing sewage,Gulmohar,49,High,INC-0506,Pending,
CMP-0484,CM Helpline,2026-06-02T19:00:00,"Govindpura में सफाई कर्मचारी कचरा नहीं उठा रहे हैं, चारों तरफ कूड़ा बिखरा पड़ा है।",Hindi,Sanitation,Garbage accumulation,Govindpura,58,Medium,INC-0329,Resolved,2026-06-04T14:00:00
CMP-0545,Mobile App,2026-06-02T22:00:00,"Shyamla Hills main road pe bahut bade potholes ho gaye hain, do-wheelers roz phisal rahe hain.",Hinglish,Roads,Pothole,Shyamla Hills,24,Medium,INC-0390,Pending,
CMP-0244,Elected Representative,2026-06-02T23:00:00,"Bagsewaniya market pole light blinking problem 3 din se hai, kindly repair.",Hinglish,Street Lighting,Flickering streetlight,Bagsewaniya,54,Low,INC-0089,Pending,
CMP-0087,CM Helpline,2026-06-02T23:05:00,Piplani मुख्य मार्ग पर रेत और गिट्टी का ढेर लगाकर रास्ता रोक दिया गया है।,Hindi,Roads,Road obstruction,Piplani,60,High,INC-0014,Pending,
CMP-0323,Social Media,2026-06-03T01:00:00,Underground supply line leakage near Subhash nagar metro station market creating artificial puddle on road.,English,Water Supply,Water leakage,Subhash Nagar,39,Medium,INC-0168,Pending,
CMP-0089,CM Helpline,2026-06-03T15:19:00,Piplani main road par fallen tree branch ki wajah se heavy jam laga hai.,Hinglish,Roads,Road obstruction,Piplani,60,High,INC-0014,Pending,
CMP-0088,Mobile App,2026-06-03T21:30:00,पिपलानी मुख्य मार्ग पर रेत और गिट्टी का ढेर लगाकर रास्ता रोक दिया गया है।,Hindi,Roads,Road obstruction,Piplani,60,High,INC-0014,Pending,
CMP-0740,CM Helpline,2026-06-04T01:00:00,Ayodhya Bypass में नाली कचरे और प्लास्टिक से चोक हो गई है। गंदा पानी सड़क पर बह रहा है।,Hindi,Drainage,Drain blockage,Ayodhya Bypass,65,High,INC-0585,Pending,
CMP-0086,Mobile App,2026-06-04T05:35:00,Piplani ke raste me construction debris dump karke block kar diya hai.,Hinglish,Roads,Road obstruction,Piplani,60,High,INC-0014,Pending,
CMP-0689,CM Helpline,2026-06-04T06:00:00,Dengue and malaria cases rising in Piplani BHEL due to rampant mosquito breeding.,English,Public Health,Mosquito breeding / fogging request,Piplani,60,Medium,INC-0534,In Progress,
CMP-0578,Municipal Helpline,2026-06-04T16:00:00,Awadhpuri मुख्य मार्ग पर रेत और गिट्टी का ढेर लगाकर रास्ता रोक दिया गया है।,Hindi,Roads,Road obstruction,Awadhpuri,64,High,INC-0423,Resolved,2026-06-08T21:00:00
CMP-0719,Municipal Helpline,2026-06-04T23:00:00,"Indrapuri me overhead power cables dangerous height par latak rahe hain, truck se takra sakte hain.",Hinglish,Electricity,Loose overhead wires,Indrapuri,62,Critical,INC-0564,In Progress,
